mcc_code,description,bill,merchant
0742,Veterinary Services,,1
0763,Agricultural Cooperatives,,1
0780,Landscaping and Horticultural Services,,1
1520,General Contractor/Residential Building,,1
1711,"Heating, Plumbing, Air Conditioning Contractors",,1
1731,Electrical Contractors,,1
1740,"Masonry, Stonework, Tile Setting, Plastering, Insulation Contractors",,1
1750,Carpentry,,1
1761,"Roof, Siding, and Sheet Metal Work Contractors",,1
1771,"Contractors, Concrete",,1
1799,Special Trade Contractor - Not Elsewhere Classified,,1
2741,Miscellaneous Publishing and Printing Services,,1
2791,"Typesetting, Plate Making and Related Services (Business to Business MCC)",,1
2842,"Specialty Cleaning, Polishing and Sanitation Preparations (Business to Business MCC)",,1
3000,United Airlines?,,1
3001,American Airlines?,,1
3002,Pan American,,1
3003,Eurofly Airlines,,1
3004,Dragon Airlines,,1
3005,British Airways?,,1
3006,Japan Air Lines?,,1
3007,Air France,,1
3008,Lufthansa,,1
3009,Air Canada,,1
3010,KLM,,1
3011,AeroFlot,,1
3012,Qantas,,1
3013,Alitalia,,1
3014,Saudi Arabian Airlines,,1
3015,SWISS,,1
3016,SAS,,1
3017,South African Airway?,,1
3018,Varig (Brazil),,1
3020,Air India,,1
3021,Air Algerie,,1
3022,PAL AIR,,1
3023,Mexicana,,1
3024,Pakistan International,,1
3025,Air New Zealand Ltd.?,,1
3026,Emirates Airlines,,1
3027,UTA/InterAir,,1
3028,Air Malta,,1
3029,SN Brussels Airlines - SN BRUSSELS,,1
3030,Aerolineas Argentinas?,,1
3031,Olympic Airways,,1
3032,El Al,,1
3033,Ansett Airlines?,,1
3034,ETIHADAIR,,1
3035,TAP (Portugal)?,,1
3036,VASP (Brazil),,1
3037,EgyptAir,,1
3038,Kuwait Airways?,,1
3039,Avianca,,1
3040,GulfAir (Bahrain)?,,1
3041,Balkan-Bulgarian?,,1
3042,FinnAir,,1
3043,Aer Lingus,,1
3044,Air Lanka,,1
3045,Nigeria Airways?,,1
3046,Cruzeiro do Sul (Bra),,1
3047,THY (Turkey),,1
3048,Royal Air Maroc?,,1
3049,Tunis Air,,1
3050,Icelandair,,1
3051,Austrian Airlines?,,1
3052,LANAIR,,1
3053,AVIACO (Spain)?,,1
3054,Ladeco (Chile)?,,1
3055,LAB (Bolivia)?,,1
3056,JetAir,,1
3057,Virgin America ÿ VIR AMER,,1
3058,Delta,,1
3059,DBA Airlines-DBA AIR,,1
3060,NWA Air,,1
3061,Continental,,1
3062,Hapag-Lloyd Express - HLX,,1
3063,US Airways,,1
3064,Adria Airways,,1
3065,Airinter (AirInternational),,1
3066,Southwest,,1
3068,AIR STANA,,1
3069,Sun Country Air,,1
3070,Pacific Southwest Airlines (PSA),,1
3071,Air British Columbia?,,1
3072,CEBU PAC,,1
3073,Air Cal,,1
3075,Singapore Airlines,,1
3076,Aeromexico,,1
3077,Thai Airways,,1
3078,China Airlines,,1
3079,Jetstar Airways - Jetstar,,1
3082,Korean Airlines,,1
3083,Air Afrique,,1
3084,Eva Airlines,,1
3085,"Midwest Express Airlines, Inc",,1
3087,Metro Airlines,,1
3089,Tans Saero,,1
3090,Uni Airways,,1
3094,Zambia Airways,,1
3096,Air Zimbabwe,,1
3097,Spanair (abbreviation: SPANAIR),,1
3098,Asiana Airlines,,1
3099,Cathay Pacific,,1
3100,Malaysian Airline Sys,,1
3102,Iberia,,1
3103,Garuda (Indonesia),,1
3105,Piedmont,,1
3106,Braathens S.A.F.E. (Norway)?,,1
3111,British Midland,,1
3112,Windward Island,,1
3117,Venezolana Int de Aviacion?,,1
3125,Tan Airlines,,1
3127,Taca International,,1
3129,Surinam Airways,,1
3130,Sunworld International Airways,,1
3131,VLM Air,,1
3132,Frontier Airlines,,1
3135,Sudan Airlines,,1
3136,Qatar Air,,1
3141,Seair Alaska,,1
3144,Virgin Atlantic,,1
3146,Luxair,,1
3148,Air Littoral SA,,1
3151,Air Laire,,1
3156,Go Fly,,1
3159,PBA-Provincetwn-Bstn Air,,1
3161,All Nippon Airways?,,1
3164,Norontair,,1
3167,Aero Continente - AEROCONTINENTE,,1
3171,Canadian Airlines?,,1
3172,Nation Air,,1
3174,JetBlue Airways,,1
3175,Middle East Air,,1
3177,AirTran Airways,,1
